City,Population2010,Rank
"Branford town, Florida",712,11805
"Gilbertville city, Iowa",712,11806
"Crowder town, Mississippi",712,11807
"Bingen city, Washington",712,11808
"Nucla town, Colorado",711,11809
"Sycamore city, Georgia",711,11810
"Clayton town, Louisiana",711,11811
"Sebeka city, Minnesota",711,11812
"Wilton city, North Dakota",711,11813
"Chippewa Lake village, Ohio",711,11814
"Wauzeka village, Wisconsin",711,11815
"Scranton city, Kansas",710,11816
"Metolius city, Oregon",710,11817
"Clayton village, Illinois",709,11818
"Green Valley village, Illinois",709,11819
"Corfu village, New York",709,11820
"Boswell town, Oklahoma",709,11821
"South New Castle borough, Pennsylvania",709,11822
"York Haven borough, Pennsylvania",709,11823
"St. Francis town, South Dakota",709,11824
"Cascade village, Wisconsin",709,11825
"Maplesville town, Alabama",708,11826
"Guy city, Arkansas",708,11827
"Collbran town, Colorado",708,11828
"Town of Pines town, Indiana",708,11829
"Windfall City town, Indiana",708,11830
"Holdingford city, Minnesota",708,11831
"Norborne city, Missouri",708,11832
"Bridger town, Montana",708,11833
"Fairfield town, Montana",708,11834
"Grover town, North Carolina",708,11835
"Millville village, Ohio",708,11836
"Reeseville village, Wisconsin",708,11837
"Horseshoe Bend city, Idaho",707,11838
"Niantic village, Illinois",707,11839
"Boyden city, Iowa",707,11840
"Wellsburg city, Iowa",707,11841
"Elwood village, Nebraska",707,11842
"Plankinton city, South Dakota",707,11843
"Chillicothe city, Texas",707,11844
"Silverhill town, Alabama",706,11845
"Clarks Grove city, Minnesota",706,11846
"Quincy village, Ohio",706,11847
"Middleton city, Tennessee",706,11848
"Camp Wood city, Texas",706,11849
"Sharpsburg town, Maryland",705,11850
"St. Edward city, Nebraska",705,11851
"Hunting Valley village, Ohio",705,11852
"Ohio City village, Ohio",705,11853
"Turbotville borough, Pennsylvania",705,11854
"Eastview town, Tennessee",705,11855
"Concrete town, Washington",705,11856
"Fort Gay town, West Virginia",705,11857
"Deer Creek village, Illinois",704,11858
"Leon city, Kansas",704,11859
"Bridgewater borough, Pennsylvania",704,11860
"Coleman city, Florida",703,11861
"Hills city, Iowa",703,11862
"Canyon City town, Oregon",703,11863
"Kimball city, South Dakota",703,11864
"Auburndale village, Wisconsin",703,11865
"Cedar Key city, Florida",702,11866
"Onaga city, Kansas",702,11867
"Como town, Texas",702,11868
"Beverly town, West Virginia",702,11869
"Welaka town, Florida",701,11870
"Evansville village, Illinois",701,11871
"Pennville town, Indiana",701,11872
"Seymour city, Iowa",701,11873
"Haviland city, Kansas",701,11874
"Madison city, Kansas",701,11875
"Hillman village, Michigan",701,11876
"Marble city, Minnesota",701,11877
"Beech Creek borough, Pennsylvania",701,11878
"Apple Valley town, Utah",701,11879
"North Freedom village, Wisconsin",701,11880
"Milan city, Georgia",700,11881
"Oneida city, Illinois",700,11882
"Deerfield city, Kansas",700,11883
"Springer town, Oklahoma",700,11884
"Albert City city, Iowa",699,11885
"Kilmichael town, Mississippi",699,11886
"Miller city, Missouri",699,11887
"Vici town, Oklahoma",699,11888
"Echo city, Oregon",699,11889
"Armour city, South Dakota",699,11890
"Viola village, Wisconsin",699,11891
"Walnut Grove town, Alabama",698,11892
"Forest View village, Illinois",698,11893
"Palmyra village, Illinois",698,11894
"Woodlawn village, Illinois",698,11895
"Hospers city, Iowa",698,11896
"Olin city, Iowa",698,11897
"Heron Lake city, Minnesota",698,11898
"Mathiston town, Mississippi",698,11899
"Airport Drive village, Missouri",698,11900
"Newland town, North Carolina",698,11901
"Ignacio town, Colorado",697,11902
"New Milford village, Illinois",697,11903
"St. Francisville city, Illinois",697,11904
"Buckley village, Michigan",697,11905
"Stockton city, Minnesota",697,11906
"Morley city, Missouri",697,11907
"Elmore City town, Oklahoma",697,11908
"Thompsontown borough, Pennsylvania",697,11909
"Big Wells city, Texas",697,11910
"Duncan town, Arizona",696,11911
"Newborn town, Georgia",696,11912
"Seneca Gardens city, Kentucky",696,11913
"Woodland Hills city, Kentucky",696,11914
"Wabasso city, Minnesota",696,11915
"Wheaton city, Missouri",696,11916
"High Shoals city, North Carolina",696,11917
"Hinckley town, Utah",696,11918
"Allenhurst city, Georgia",695,11919
"Jennerstown borough, Pennsylvania",695,11920
"Ector city, Texas",695,11921
"Mound City city, Kansas",694,11922
"Ridgecrest town, Louisiana",694,11923
"Tickfaw village, Louisiana",694,11924
"Morrison town, Tennessee",694,11925
"Saybrook village, Illinois",693,11926
"Thayer village, Illinois",693,11927
"Yates City village, Illinois",693,11928
"Medora town, Indiana",693,11929
"Science Hill city, Kentucky",693,11930
"Perry city, Missouri",693,11931
"Viburnum city, Missouri",693,11932
"Athol city, Idaho",692,11933
"Mullan city, Idaho",692,11934
"Carlisle town, Indiana",692,11935
"Blairstown city, Iowa",692,11936
"Kindred city, North Dakota",692,11937
"Jewett village, Ohio",692,11938
"Elloree town, South Carolina",692,11939
"Gillett city, Arkansas",691,11940
"Colfax town, Indiana",691,11941
"Ellendale city, Minnesota",691,11942
"Bolton town, North Carolina",691,11943
"Danville town, West Virginia",691,11944
"Taylor Springs village, Illinois",690,11945
"Yachats city, Oregon",690,11946
"Stanton city, Iowa",689,11947
"Hampton city, Minnesota",689,11948
"Marine on St. Croix city, Minnesota",689,11949
"Powers city, Oregon",689,11950
"New Florence borough, Pennsylvania",689,11951
"Unalakleet city, Alaska",688,11952
"Bluford village, Illinois",688,11953
"Wickliffe city, Kentucky",688,11954
"Waterproof town, Louisiana",688,11955
"Greenwood city, Minnesota",688,11956
"Grantsboro town, North Carolina",688,11957
"Wayne town, Oklahoma",688,11958
"Tidioute borough, Pennsylvania",688,11959
"Point Blank city, Texas",688,11960
"Potosi village, Wisconsin",688,11961
"Wilton town, Alabama",687,11962
"Vernon city, Florida",687,11963
"Howard city, Kansas",687,11964
"Minnesota Lake city, Minnesota",687,11965
"Deer Lake borough, Pennsylvania",687,11966
"Colton city, South Dakota",687,11967
"Mantua town, Utah",687,11968
"Greenwood town, Florida",686,11969
"Weir city, Kansas",686,11970
"Hills city, Minnesota",686,11971
"Landfall city, Minnesota",686,11972
"Welcome city, Minnesota",686,11973
"Antwerp village, New York",686,11974
"Savanna town, Oklahoma",686,11975
"Petrolia city, Texas",686,11976
"Foxfield town, Colorado",685,11977
"Coffeen city, Illinois",685,11978
"Cascade town, Montana",685,11979
"Normangee town, Texas",685,11980
"Corinne city, Utah",685,11981
"Stanwood city, Iowa",684,11982
"Agency village, Missouri",684,11983
"Bogue town, North Carolina",684,11984
"Oakville city, Washington",684,11985
"Findlay village, Illinois",683,11986
"New Boston city, Illinois",683,11987
"Elgin city, Iowa",683,11988
"Elkhart city, Iowa",683,11989
"Upton city, Kentucky",683,11990
"Lake Benton city, Minnesota",683,11991
"McRae city, Arkansas",682,11992
"Van Horne city, Iowa",682,11993
"Hanover city, Kansas",682,11994
"Leawood village, Missouri",682,11995
"Rocky Hill borough, New Jersey",682,11996
"Warsaw village, Ohio",682,11997
"West Mansfield village, Ohio",682,11998
"Condon city, Oregon",682,11999
"Westover Hills town, Texas",682,12000
"Gambell city, Alaska",681,12001
"Palestine city, Arkansas",681,12002
"Alhambra village, Illinois",681,12003
"South Wilmington village, Illinois",681,12004
"Clarissa city, Minnesota",681,12005
"Hoffman city, Minnesota",681,12006
"Kingstown town, North Carolina",681,12007
"Shawnee Hills village, Ohio",681,12008
"Scurry town, Texas",681,12009
"Tolar city, Texas",681,12010
"Pretty Prairie city, Kansas",680,12011
"Waterville city, Kansas",680,12012
"Gallaway city, Tennessee",680,12013
"Fairplay town, Colorado",679,12014
"Birch Tree city, Missouri",679,12015
"Nuangola borough, Pennsylvania",679,12016
"Fremont village, Wisconsin",679,12017
"Hauser city, Idaho",678,12018
"Kootenai city, Idaho",678,12019
"St. Leon town, Indiana",678,12020
"Beemer village, Nebraska",678,12021
"Pikeville town, North Carolina",678,12022
"Bloomdale village, Ohio",678,12023
"Picture Rocks borough, Pennsylvania",678,12024
"Happy town, Texas",678,12025
"Alakanuk city, Alaska",677,12026
"Imboden town, Arkansas",677,12027
"Dubois city, Idaho",677,12028
"Davis village, Illinois",677,12029
"Noble village, Illinois",677,12030
"Rushville village, New York",677,12031
"Harleyville town, South Carolina",677,12032
"Almena village, Wisconsin",677,12033
"Ochlocknee town, Georgia",676,12034
"West College Corner town, Indiana",676,12035
"Brownsdale city, Minnesota",676,12036
"Elba village, New York",676,12037
"Barlow city, Kentucky",675,12038
"Sandy Hook city, Kentucky",675,12039
"Kasota city, Minnesota",675,12040
"Walkerville town, Montana",675,12041
"Racine village, Ohio",675,12042
"Timberlake village, Ohio",675,12043
"Sankertown borough, Pennsylvania",675,12044
"Six Mile town, South Carolina",675,12045
"Ridgeley town, West Virginia",675,12046
"Point Hope city, Alaska",674,12047
"Grafton city, Illinois",674,12048
"Oldenburg town, Indiana",674,12049
"Cloudcroft village, New Mexico",674,12050
"Littleton town, North Carolina",674,12051
"East Vandergrift borough, Pennsylvania",674,12052
"Pelion town, South Carolina",674,12053
"Maury City town, Tennessee",674,12054
"Elsah village, Illinois",673,12055
"Alburnett city, Iowa",673,12056
"Chesapeake City town, Maryland",673,12057
"Millerstown borough, Pennsylvania",673,12058
"Derby Line village, Vermont",673,12059
"Middleburg town, Virginia",673,12060
"Cisne village, Illinois",672,12061
"Cordova village, Illinois",672,12062
"Fontanelle city, Iowa",672,12063
"Bennington city, Kansas",672,12064
"Mangham town, Louisiana",672,12065
"Maple Rapids village, Michigan",672,12066
"Port Leyden village, New York",672,12067
"Lakota city, North Dakota",672,12068
"Binger town, Oklahoma",672,12069
"Palmer town, Tennessee",672,12070
"Savoonga city, Alaska",671,12071
"Alpha village, Illinois",671,12072
"Motley city, Minnesota",671,12073
"Malta village, Ohio",671,12074
"Puryear city, Tennessee",671,12075
"Oxford city, Arkansas",670,12076
"Sea Ranch Lakes village, Florida",670,12077
"White city, Georgia",670,12078
"Eleva village, Wisconsin",670,12079
"Quinhagak city, Alaska",669,12080
"Valier village, Illinois",669,12081
"Hoyt city, Kansas",669,12082
"Hawk Point city, Missouri",669,12083
"New Bloomfield city, Missouri",669,12084
"Eureka city, Utah",669,12085
"Francis Creek village, Wisconsin",669,12086
"Sullivan village, Wisconsin",669,12087
"Noorvik city, Alaska",668,12088
"Alapaha town, Georgia",668,12089
"Golconda city, Illinois",668,12090
"Renova town, Mississippi",668,12091
"Sycamore Hills village, Missouri",668,12092
"Friendship city, Tennessee",668,12093
"Pineville town, West Virginia",668,12094
"Vermont village, Illinois",667,12095
"Weston city, Oregon",667,12096
"Pateros city, Washington",667,12097
"Tioga borough, Pennsylvania",666,12098
"Clarkston town, Utah",666,12099
"Millington village, Illinois",665,12100
"Moravia city, Iowa",665,12101
"La Prairie city, Minnesota",665,12102
"Norwood city, Missouri",665,12103
"Walnut Grove city, Missouri",665,12104
"Hershey village, Nebraska",665,12105
"Dillonvale village, Ohio",665,12106
"Adrian city, Georgia",664,12107
"Farmington city, Iowa",664,12108
"Queenstown town, Maryland",664,12109
"Port Austin village, Michigan",664,12110
"Rollingstone city, Minnesota",664,12111
"Bergholz village, Ohio",664,12112
"Rossville town, Tennessee",664,12113
"Livingston village, Wisconsin",664,12114
"Superior village, Wisconsin",664,12115
"Central City city, Colorado",663,12116
"Hot Sulphur Springs town, Colorado",663,12117
"Gibson city, Georgia",663,12118
"Cecilton town, Maryland",663,12119
"Elmore city, Minnesota",663,12120
"Hornersville city, Missouri",663,12121
"McLaughlin city, South Dakota",663,12122
"Hayden town, Arizona",662,12123
"Black Rock city, Arkansas",662,12124
"Williamsburg town, Colorado",662,12125
"Melbourne Village town, Florida",662,12126
"Creston village, Illinois",662,12127
"Elk Horn city, Iowa",662,12128
"Pomeroy city, Iowa",662,12129
"Mendon village, Ohio",662,12130
"Cohutta city, Georgia",661,12131
"West City village, Illinois",661,12132
"Mermentau village, Louisiana",661,12133
"Alden city, Minnesota",661,12134
"Cleveland city, Missouri",661,12135
"Elgin city, Nebraska",661,12136
"Hammondsport village, New York",661,12137
"Bettsville village, Ohio",661,12138
"Pennsbury Village borough, Pennsylvania",661,12139
"Napoleonville village, Louisiana",660,12140
"La Belle city, Missouri",660,12141
"Briar Creek borough, Pennsylvania",660,12142
"New Underwood city, South Dakota",660,12143
"Davis town, West Virginia",660,12144
"Prentice village, Wisconsin",660,12145
"Lynn town, Alabama",659,12146
"Irvington village, Illinois",659,12147
"Paragon town, Indiana",659,12148
"Sandy Lake borough, Pennsylvania",659,12149
"Stratton town, Colorado",658,12150
"Shipshewana town, Indiana",658,12151
"Coggon city, Iowa",658,12152
"Chevy Chase Section Five village, Maryland",658,12153
"Stephen city, Minnesota",658,12154
"Clarkson city, Nebraska",658,12155
"Onida city, South Dakota",658,12156
"Green City city, Missouri",657,12157
"Ririe city, Idaho",656,12158
"Harmony town, Indiana",656,12159
"New Market town, Maryland",656,12160
"McBain city, Michigan",656,12161
"Canistota city, South Dakota",656,12162
"Philadelphia city, Tennessee",656,12163
"Hideout town, Utah",656,12164
"Shawnee village, Ohio",655,12165
"Woonsocket city, South Dakota",655,12166
"Cowley town, Wyoming",655,12167
"Newton city, Georgia",654,12168
"Ava city, Illinois",654,12169
"Spring Valley city, Kentucky",654,12170
"Asharoken village, New York",654,12171
"Kadoka city, South Dakota",654,12172
"Reece City town, Alabama",653,12173
"Flovilla city, Georgia",653,12174
"St. Charles city, Iowa",653,12175
"Parks village, Louisiana",653,12176
"Port Deposit town, Maryland",653,12177
"Rose City city, Michigan",653,12178
"Milnor city, North Dakota",653,12179
"Galena village, Ohio",653,12180
"Conneaut Lake borough, Pennsylvania",653,12181
"Strawn city, Texas",653,12182
"Peterstown town, West Virginia",653,12183
"Ridgeway village, Wisconsin",653,12184
"Webster village, Wisconsin",653,12185
"Blairsville city, Georgia",652,12186
"North High Shoals town, Georgia",652,12187
"Brighton city, Iowa",652,12188
"Kanawha city, Iowa",652,12189
"Elysian city, Minnesota",652,12190
"Lidgerwood city, North Dakota",652,12191
"Cherry Valley city, Arkansas",651,12192
"Blandinsville village, Illinois",651,12193
"Oxford town, Maryland",651,12194
"Sharptown town, Maryland",651,12195
"Greendale city, Missouri",651,12196
"Melrose village, New Mexico",651,12197
"McAdenville town, North Carolina",651,12198
"Charleston city, Tennessee",651,12199
"Wartrace town, Tennessee",651,12200
"McIntyre town, Georgia",650,12201
"Parkway Village city, Kentucky",650,12202
"Loretto city, Minnesota",650,12203
"Randall city, Minnesota",650,12204
"Boyle town, Mississippi",650,12205
"Sherman town, Mississippi",650,12206
"Roxton city, Texas",650,12207
